"word","definition"
"deficit","An excess of liabilities over assets."
"deficit","A shortage or absence of what is needed."
"depreciation","The falling of value, the reduction of worth."
"destination","The place set for the end of a journey, or to which something is sent."
"destination","Defined usage or destination for something."
"desperate","Without hope or expectation."
"desperate","Fraught with extreme danger; nearly hopeless."
"full employment","A situation in which all people who are willing to work have a paid employment."
"lottery ticket","A purchasable slip of paper with a combination of numbers for which a winner is determined."
"deployment","The distribution of military forces prior to battle."
"deterioration","The process of changing to an inferior state."
"arrival","Act of reaching a certain place."
"Zacheus","A superintendent of customs; a chief tax-gatherer (publicanus) at Jericho (Luke 19:1-10)."
"extraordinary assembly","Assembly which can be called for at any time in order to decide about exceptional and very important points."
"extraordinary plenary meeting","Assembly that can be called any time to decide about very important and exceptional points, all members of a certain group are invited."
"breakable","Easy to break."
"fragile","Easy to break."
"alternate","Going back and forth between two states or conditions."
"alternate","Every second one of a series."
"alternate","Being or succeeding by turns."
"psychic","Of or pertaining to the soul."
"mental","Of or pertaining to the soul."
"mental","Related to the mental or spiritual condition as opposed to the bodily or exterior phenomena."
"affable","Receiving others kindly and conversing with them in a free and friendly manner."
"affable","Diffusing warmth and friendliness."
"courteous","Good mannered."
"courteous","Receiving others kindly and conversing with them in a free and friendly manner."
"amendment","An alteration made or proposed to be made in a bill or motion that adds, changes, substitutes, or omits."
